date,close_price,open_price,high_price,low_price,is_complete,volume
2023-09-01 18:00:00+00:00,178.26,178.24,178.30,178.16,True,22883
2023-09-01 19:00:00+00:00,178.25,178.26,178.38,178.18,True,38846
2023-09-01 20:00:00+00:00,178.22,178.25,178.40,178.20,True,74458
2023-09-02 07:00:00+00:00,179.35,178.94,179.85,177.04,True,5354
2023-09-02 08:00:00+00:00,179.45,177.91,180.06,177.63,True,3997
2023-09-02 09:00:00+00:00,178.11,179.46,179.64,177.59,True,2762
2023-09-02 10:00:00+00:00,179.01,178.11,179.79,177.47,True,1897
2023-09-02 11:00:00+00:00,177.83,179.02,179.34,177.38,True,1444
2023-09-02 12:00:00+00:00,179.17,179.27,179.32,177.30,True,1532
2023-09-02 13:00:00+00:00,178.73,177.73,180.18,177.59,True,2365
2023-09-02 14:00:00+00:00,179.66,178.73,180.18,177.93,True,2231
2023-09-02 15:00:00+00:00,178.44,179.67,179.89,178.10,True,1155
2023-09-03 07:00:00+00:00,180.36,179.89,181.22,178.27,True,3758
2023-09-03 08:00:00+00:00,180.42,180.37,181.31,178.49,True,5314
2023-09-03 09:00:00+00:00,180.11,180.42,181.02,178.29,True,3820
2023-09-03 10:00:00+00:00,178.42,178.66,180.32,178.39,True,1734
2023-09-03 11:00:00+00:00,178.92,178.42,180.42,178.41,True,1965
2023-09-03 12:00:00+00:00,179.03,180.36,180.42,176.18,True,4630
2023-09-03 13:00:00+00:00,177.66,177.59,179.29,177.26,True,1850
2023-09-03 14:00:00+00:00,177.74,177.66,179.51,177.54,True,1456
2023-09-03 15:00:00+00:00,178.37,179.13,179.85,177.66,True,1323
2023-09-04 06:00:00+00:00,179.31,179.31,179.31,179.31,True,12623
2023-09-04 07:00:00+00:00,178.98,179.32,179.70,178.84,True,477866
2023-09-04 08:00:00+00:00,179.62,178.98,179.88,178.90,True,310584
2023-09-04 09:00:00+00:00,179.52,179.62,179.89,179.35,True,241437
2023-09-04 10:00:00+00:00,179.67,179.52,179.85,179.25,True,220390
2023-09-04 11:00:00+00:00,179.68,179.68,179.80,179.41,True,139140
2023-09-04 12:00:00+00:00,179.20,179.67,179.69,179.20,True,213905
2023-09-04 13:00:00+00:00,181.14,179.21,181.81,179.10,True,1447692
2023-09-04 14:00:00+00:00,180.74,181.14,181.48,180.50,True,524650
2023-09-04 15:00:00+00:00,180.91,180.74,181.01,180.59,True,207514
2023-09-04 16:00:00+00:00,180.93,181.00,181.00,180.26,True,195660
2023-09-04 17:00:00+00:00,180.79,180.94,181.14,180.61,True,241670
2023-09-04 18:00:00+00:00,181.01,180.79,181.02,180.75,True,122446
2023-09-04 19:00:00+00:00,181.14,181.01,181.26,180.92,True,184328
2023-09-04 20:00:00+00:00,181.11,181.10,181.15,180.92,True,90764
2023-09-05 06:00:00+00:00,181.20,181.20,181.20,181.20,True,11999
2023-09-05 07:00:00+00:00,181.94,181.20,182.30,180.80,True,951301
2023-09-05 08:00:00+00:00,181.75,181.95,182.16,181.28,True,353135
2023-09-05 09:00:00+00:00,179.91,181.76,181.87,179.52,True,768255
2023-09-05 10:00:00+00:00,180.16,179.90,180.33,179.00,True,625339
2023-09-05 11:00:00+00:00,179.81,180.17,180.48,179.53,True,217305
2023-09-05 12:00:00+00:00,180.23,179.83,180.24,179.57,True,150782
2023-09-05 13:00:00+00:00,180.50,180.23,180.71,180.14,True,221883
2023-09-05 14:00:00+00:00,179.97,180.50,180.57,179.67,True,244211
2023-09-05 15:00:00+00:00,179.80,179.99,180.55,179.80,True,125317
2023-09-05 16:00:00+00:00,181.09,179.88,181.60,179.51,True,481940
2023-09-05 17:00:00+00:00,181.03,181.09,181.20,180.43,True,170745
2023-09-05 18:00:00+00:00,181.85,181.02,182.80,181.02,True,946054
2023-09-05 19:00:00+00:00,181.99,181.79,182.10,181.55,True,260036
2023-09-05 20:00:00+00:00,182.48,181.99,182.50,181.93,True,204405
2023-09-06 06:00:00+00:00,183.19,183.19,183.19,183.19,True,23763
2023-09-06 07:00:00+00:00,183.07,183.20,184.00,181.95,True,1847861
2023-09-06 08:00:00+00:00,181.91,183.07,183.40,181.58,True,562659
2023-09-06 09:00:00+00:00,182.24,181.91,182.77,181.68,True,313191
2023-09-06 10:00:00+00:00,181.55,182.25,182.35,181.26,True,317349
2023-09-06 11:00:00+00:00,181.71,181.54,181.99,181.10,True,226372
2023-09-06 12:00:00+00:00,182.02,181.71,182.20,181.52,True,170146
2023-09-06 13:00:00+00:00,182.38,182.02,182.59,182.01,True,154210
2023-09-06 14:00:00+00:00,182.19,182.37,182.42,182.00,True,152416
2023-09-06 15:00:00+00:00,181.32,182.19,182.20,181.32,True,167827
2023-09-06 16:00:00+00:00,181.79,181.32,181.99,181.13,True,94010
2023-09-06 17:00:00+00:00,181.13,181.79,181.90,180.78,True,274958
2023-09-06 18:00:00+00:00,180.84,181.13,181.30,180.63,True,117035
2023-09-06 19:00:00+00:00,181.00,180.84,181.37,180.80,True,93123
2023-09-06 20:00:00+00:00,180.96,180.99,181.09,180.70,True,49858
2023-09-07 06:00:00+00:00,180.95,180.95,180.95,180.95,True,4941
2023-09-07 07:00:00+00:00,180.94,180.95,181.15,179.62,True,562923
2023-09-07 08:00:00+00:00,180.57,180.93,181.68,180.51,True,362579
2023-09-07 09:00:00+00:00,180.45,180.59,180.97,180.10,True,223026
2023-09-07 10:00:00+00:00,178.62,180.46,180.60,178.36,True,1015383
2023-09-07 11:00:00+00:00,178.85,178.57,179.39,178.00,True,680537
2023-09-07 12:00:00+00:00,178.48,178.85,179.41,178.10,True,290165
2023-09-07 13:00:00+00:00,178.36,178.48,179.19,178.13,True,248162
2023-09-07 14:00:00+00:00,177.10,178.37,178.66,176.50,True,1124532
2023-09-07 15:00:00+00:00,177.05,177.10,177.57,177.05,True,246098
2023-09-07 16:00:00+00:00,177.65,177.30,178.00,177.13,True,171475
2023-09-07 17:00:00+00:00,177.68,177.62,177.95,177.55,True,48261
2023-09-07 18:00:00+00:00,177.87,177.68,178.06,177.60,True,60959
2023-09-07 19:00:00+00:00,177.88,177.87,178.00,177.80,True,51772
2023-09-07 20:00:00+00:00,177.64,177.88,177.89,177.43,True,59652
2023-09-08 06:00:00+00:00,177.94,177.94,177.94,177.94,True,7177
2023-09-08 07:00:00+00:00,175.70,177.96,178.17,175.51,True,921410
2023-09-08 08:00:00+00:00,176.22,175.72,176.66,175.53,True,405506
2023-09-08 09:00:00+00:00,175.80,176.22,176.70,175.75,True,318769
2023-09-08 10:00:00+00:00,176.13,175.78,176.35,175.75,True,144666
2023-09-08 11:00:00+00:00,176.60,176.13,176.62,176.05,True,168869
2023-09-08 12:00:00+00:00,176.40,176.60,176.90,176.06,True,202064
2023-09-08 13:00:00+00:00,176.16,176.40,176.50,175.93,True,340631
2023-09-08 14:00:00+00:00,176.18,176.17,176.28,176.01,True,123444
2023-09-08 15:00:00+00:00,175.70,176.18,176.35,175.70,True,198822
2023-09-08 16:00:00+00:00,176.03,175.70,176.18,175.61,True,57731
2023-09-08 17:00:00+00:00,176.01,176.02,176.13,175.98,True,29676
2023-09-08 18:00:00+00:00,175.95,176.01,176.02,175.80,True,53964
2023-09-08 19:00:00+00:00,176.09,175.94,176.13,175.85,True,41710
2023-09-08 20:00:00+00:00,175.95,176.04,176.09,175.84,True,43594
2023-09-09 07:00:00+00:00,176.72,176.67,177.29,173.61,True,6496
2023-09-09 08:00:00+00:00,176.10,175.27,177.71,175.01,True,2804
2023-09-09 09:00:00+00:00,177.40,176.09,177.89,175.84,True,3174
2023-09-09 10:00:00+00:00,177.15,177.40,177.41,175.09,True,2151
2023-09-09 11:00:00+00:00,177.19,177.16,177.19,175.35,True,1352
2023-09-09 12:00:00+00:00,177.34,175.77,177.46,175.72,True,1160
2023-09-09 13:00:00+00:00,175.76,177.34,177.52,175.10,True,2187
2023-09-09 14:00:00+00:00,176.43,177.18,177.83,175.70,True,2220
2023-09-09 15:00:00+00:00,176.13,177.86,178.20,176.11,True,1403
2023-09-10 07:00:00+00:00,175.95,177.55,177.65,175.78,True,1904
2023-09-10 08:00:00+00:00,176.04,175.94,177.58,175.92,True,1473
2023-09-10 09:00:00+00:00,177.61,177.46,177.61,175.82,True,1355
2023-09-10 10:00:00+00:00,175.89,177.61,177.96,175.86,True,1502
2023-09-10 11:00:00+00:00,176.53,177.32,178.33,175.89,True,2192
2023-09-10 12:00:00+00:00,177.85,176.51,178.11,176.44,True,1357
2023-09-10 13:00:00+00:00,177.95,176.38,178.13,176.35,True,1226
2023-09-10 14:00:00+00:00,177.47,177.95,177.98,175.92,True,1066
2023-09-10 15:00:00+00:00,176.23,177.47,177.90,176.01,True,1113
2023-09-11 06:00:00+00:00,176.02,176.02,176.02,176.02,True,5554
2023-09-11 07:00:00+00:00,176.80,176.02,177.44,175.20,True,553448
2023-09-11 08:00:00+00:00,176.19,176.80,177.00,175.64,True,207629
2023-09-11 09:00:00+00:00,175.98,176.19,176.67,175.70,True,233566
2023-09-11 10:00:00+00:00,175.51,175.98,176.09,175.00,True,335146
2023-09-11 11:00:00+00:00,175.80,175.51,175.85,175.30,True,158878
2023-09-11 12:00:00+00:00,175.55,175.80,176.00,175.37,True,121535
2023-09-11 13:00:00+00:00,175.69,175.56,175.81,175.30,True,164915
2023-09-11 14:00:00+00:00,174.91,175.69,175.80,174.67,True,268561
2023-09-11 15:00:00+00:00,175.20,174.90,175.20,174.63,True,172365
2023-09-11 16:00:00+00:00,174.83,175.19,175.20,174.74,True,64056
2023-09-11 17:00:00+00:00,174.88,174.83,175.06,174.30,True,144262
2023-09-11 18:00:00+00:00,174.50,174.88,175.07,174.34,True,85139
2023-09-11 19:00:00+00:00,174.12,174.46,174.50,174.02,True,118602
2023-09-11 20:00:00+00:00,174.64,174.12,174.87,174.05,True,66538
2023-09-12 06:00:00+00:00,175.23,175.23,175.23,175.23,True,5073
2023-09-12 07:00:00+00:00,175.79,175.23,175.86,174.80,True,504543
2023-09-12 08:00:00+00:00,175.91,175.80,176.22,175.39,True,246656
2023-09-12 09:00:00+00:00,175.55,175.91,176.24,175.40,True,150572
2023-09-12 10:00:00+00:00,175.59,175.55,175.83,175.43,True,110451
2023-09-12 11:00:00+00:00,175.45,175.69,175.91,175.15,True,134753
2023-09-12 12:00:00+00:00,175.18,175.44,175.46,174.90,True,165450
2023-09-12 13:00:00+00:00,175.46,175.16,175.65,175.00,True,146492
2023-09-12 14:00:00+00:00,175.76,175.50,175.94,175.42,True,158775
2023-09-12 15:00:00+00:00,176.50,175.77,176.50,175.71,True,208784
2023-09-12 16:00:00+00:00,177.05,176.46,177.17,176.22,True,170577
2023-09-12 17:00:00+00:00,177.06,177.04,177.36,176.83,True,111205
2023-09-12 18:00:00+00:00,177.08,177.08,177.27,177.01,True,47701
2023-09-12 19:00:00+00:00,177.60,177.07,177.70,177.05,True,121044
2023-09-12 20:00:00+00:00,177.62,177.63,177.70,177.49,True,45951
2023-09-13 06:00:00+00:00,177.80,177.80,177.80,177.80,True,3868
2023-09-13 07:00:00+00:00,177.25,177.80,178.00,176.50,True,407549
2023-09-13 08:00:00+00:00,176.52,177.21,177.21,176.12,True,191751
2023-09-13 09:00:00+00:00,176.24,176.45,176.94,176.13,True,156641
2023-09-13 10:00:00+00:00,176.20,176.27,176.75,176.05,True,244199
2023-09-13 11:00:00+00:00,175.56,176.20,176.57,175.52,True,200402
2023-09-13 12:00:00+00:00,175.58,175.55,175.89,175.11,True,239878
2023-09-13 13:00:00+00:00,174.73,175.58,175.89,174.65,True,276811
2023-09-13 14:00:00+00:00,174.95,174.74,174.98,174.30,True,246820
2023-09-13 15:00:00+00:00,174.57,174.94,175.25,174.57,True,136550
2023-09-13 16:00:00+00:00,174.87,174.52,174.88,174.40,True,95902
2023-09-13 17:00:00+00:00,175.05,174.86,175.11,174.69,True,42791
2023-09-13 18:00:00+00:00,175.24,175.05,175.54,175.00,True,54135
2023-09-13 19:00:00+00:00,174.70,175.24,175.24,174.70,True,49336
2023-09-13 20:00:00+00:00,174.94,174.69,174.96,174.69,True,44067
2023-09-14 06:00:00+00:00,175.25,175.25,175.25,175.25,True,1350
2023-09-14 07:00:00+00:00,174.33,175.20,175.39,174.10,True,388313
2023-09-14 08:00:00+00:00,173.89,174.34,174.75,173.31,True,755947
2023-09-14 09:00:00+00:00,173.72,173.89,174.19,173.06,True,682024
2023-09-14 10:00:00+00:00,173.96,173.71,174.23,173.30,True,383989
2023-09-14 11:00:00+00:00,174.32,173.96,174.34,173.50,True,228280
2023-09-14 12:00:00+00:00,173.82,174.34,174.39,173.69,True,142426
2023-09-14 13:00:00+00:00,174.57,173.81,174.58,173.71,True,220863
2023-09-14 14:00:00+00:00,174.16,174.58,174.71,174.01,True,160199
2023-09-14 15:00:00+00:00,174.70,174.18,174.70,173.55,True,274948
2023-09-14 16:00:00+00:00,174.04,174.70,174.70,173.90,True,98994
2023-09-14 17:00:00+00:00,173.91,174.03,174.26,173.70,True,56447
2023-09-14 18:00:00+00:00,173.95,173.92,174.00,173.86,True,26968
2023-09-14 19:00:00+00:00,173.71,173.97,173.98,173.60,True,37376
2023-09-14 20:00:00+00:00,173.52,173.69,173.74,173.33,True,71398
2023-09-15 06:00:00+00:00,173.50,173.50,173.50,173.50,True,5790
2023-09-15 07:00:00+00:00,173.67,173.50,174.30,173.49,True,249376
2023-09-15 08:00:00+00:00,173.49,173.67,174.14,173.25,True,183585
2023-09-15 09:00:00+00:00,173.59,173.50,173.82,173.35,True,124692
2023-09-15 10:00:00+00:00,173.78,173.59,174.76,173.40,True,392805
2023-09-15 11:00:00+00:00,174.16,173.77,174.44,173.66,True,194174
2023-09-15 12:00:00+00:00,173.87,174.13,174.26,173.77,True,158396
2023-09-15 13:00:00+00:00,174.05,173.87,174.10,173.80,True,105751
2023-09-15 14:00:00+00:00,173.82,174.04,174.05,173.77,True,106202
2023-09-15 15:00:00+00:00,174.30,173.82,174.30,173.72,True,126214
2023-09-15 16:00:00+00:00,174.01,174.25,174.25,173.82,True,55617
2023-09-15 17:00:00+00:00,174.02,174.03,174.17,173.90,True,42078
2023-09-15 18:00:00+00:00,173.85,174.02,174.10,173.74,True,43981
2023-09-15 19:00:00+00:00,173.98,173.85,174.00,173.79,True,38050
2023-09-15 20:00:00+00:00,173.79,173.98,174.03,173.54,True,65972
